Time,Event,UnempIns,Age,LogWage,Tenure,RepRate,DisRate,HeadOfHousehold,Married,Female,Childen,NonWhite,BlueCollar,Mining,Construction,Transportation,Trade,Services,PublicAdmin
2,0,0,40,5.69036,3,0.52,0.13,1,1,0,1,0,1,1,0,0,0,0,0
1,0,0,44,5.39816,0,0.52,0.13,1,0,0,1,0,0,0,0,0,1,0,0
7,1,1,42,5.66296,2,0.52,0.13,1,1,0,1,0,0,0,0,0,0,1,0
1,0,0,52,5.46806,2,0.52,0.13,1,1,0,1,0,0,0,0,0,0,0,0
6,1,1,23,4.91265,3,0.52,0.13,0,0,0,0,0,1,0,0,0,0,0,0
4,0,0,23,5.53339,0,0.52,0.13,1,1,0,1,0,1,0,1,0,0,0,0
3,0,1,25,5.11199,0,0.52,0.13,1,1,0,1,1,0,0,0,0,0,1,0
7,1,1,50,6.78106,2,0.201,0.05,1,1,0,0,0,0,0,0,0,0,0,1
2,1,1,28,6.286,0,0.329,0.082,1,0,0,0,0,1,0,1,0,0,0,0
2,0,0,30,5.28827,0,0.52,0.13,0,0,0,0,0,1,0,0,0,1,0,0
27,0,1,27,5.46806,1,0.52,0.13,1,0,1,1,1,0,0,0,0,0,0,1
4,1,0,48,5.81711,3,0.52,0.13,0,1,1,0,0,0,0,0,0,0,0,0
5,1,0,22,5.53339,1,0.52,0.13,0,0,0,1,0,1,0,1,0,0,0,0
2,0,0,21,4.89784,1,0.52,0.13,0,0,0,1,0,1,0,0,0,0,0,0
3,0,0,23,6.05678,3,0.415,0.104,1,1,0,1,0,1,0,1,0,0,0,0
1,0,0,26,5.75574,1,0.52,0.13,0,0,0,0,0,0,0,0,0,1,0,0
4,1,1,24,5.51745,1,0.52,0.13,0,0,1,0,0,1,0,0,0,1,0,0
9,0,0,38,4.83628,0,0.52,0.13,0,0,0,0,1,1,0,0,0,0,1,0
1,0,1,28,5.28827,2,0.52,0.208,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,20,5.46806,0,0.52,0.208,0,0,0,0,0,1,0,0,0,1,0,0
14,0,1,36,5.62402,0,0.52,0.208,1,1,0,1,0,1,0,0,0,0,0,0
9,0,1,30,7.23201,5,0.166,0.067,1,1,0,1,0,0,0,0,0,0,0,0
5,0,1,58,4.89784,6,0.52,0.208,0,1,1,0,0,1,0,0,0,0,0,0
5,0,0,28,5.97889,10,0.52,0.208,0,1,1,0,0,0,0,0,0,0,0,0
5,1,1,20,5.75574,1,0.52,0.208,1,1,0,0,0,1,0,1,0,0,0,0
15,1,1,47,5.97889,7,0.52,0.208,1,1,0,0,0,1,0,0,0,1,0,0
20,0,0,41,5.46806,1,0.52,0.208,0,0,1,0,1,1,0,0,0,0,0,0
3,1,1,41,5.18178,5,0.52,0.208,0,0,0,0,1,1,0,0,0,0,0,0
4,0,1,46,7.31389,14,0.153,0.061,1,1,0,1,0,0,0,0,0,0,0,0
1,1,0,54,7.1025,23,0.189,0.076,1,1,0,0,0,0,0,0,0,0,0,0
7,0,1,32,5.81711,13,0.52,0.208,1,0,0,0,1,1,0,0,0,1,0,0
10,0,1,44,5.75574,0,0.52,0.208,1,0,0,0,1,0,0,0,1,0,0,0
10,0,1,47,5.75574,0,0.52,0.208,0,0,1,0,1,0,0,0,1,0,0,0
13,1,1,34,5.97889,5,0.52,0.208,1,1,0,1,0,1,0,0,1,0,0,0
11,0,0,34,5.75574,3,0.52,0.208,1,1,0,0,0,1,0,1,0,0,0,0
21,0,0,21,5.28827,1,0.52,0.208,0,0,0,0,1,1,0,0,0,0,0,0
9,0,1,52,5.32301,0,0.52,0.208,0,1,1,0,0,1,0,0,0,0,1,0
2,0,1,25,5.75574,2,0.52,0.208,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,58,5.8522,28,0.52,0.208,0,1,1,0,0,0,0,0,0,0,0,0
2,1,1,49,6.56667,5,0.323,0.129,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,49,5.66296,2,0.52,0.208,1,0,1,1,0,0,0,0,0,1,0,0
1,1,0,25,5.70378,1,0.52,0.208,1,0,0,0,0,0,0,0,0,0,0,0
14,1,1,29,6.16121,11,0.485,0.194,0,0,1,0,0,0,0,0,0,0,1,0
14,0,1,56,6.67203,3,0.291,0.116,1,1,0,1,0,0,0,0,0,0,0,0
7,0,1,28,5.06259,1,0.52,0.208,0,0,1,1,0,0,0,0,0,1,0,0
2,1,0,37,6.07535,3,0.52,0.208,1,0,0,0,0,1,0,0,0,1,0,0
18,0,1,38,5.75574,0,0.52,0.208,0,1,0,0,0,1,0,0,0,0,0,0
7,1,1,27,5.46806,3,0.52,0.208,0,1,1,0,0,1,0,0,1,0,0,0
11,0,1,31,5.83773,1,0.52,0.208,1,1,0,0,0,0,0,0,0,0,0,0
4,0,1,51,5.53339,0,0.52,0.208,0,0,1,0,0,1,0,0,0,0,0,0
2,0,1,21,5.46806,0,0.52,0.208,0,0,0,0,0,1,0,1,0,0,0,0
16,0,0,24,5.93754,3,0.52,0.208,0,0,0,0,0,1,0,0,0,1,0,0
4,0,0,22,5.28827,0,0.52,0.208,0,0,0,0,0,1,0,1,0,0,0,0
5,0,1,24,6.16121,0,0.485,0.194,1,0,0,0,0,1,0,1,0,0,0,0
14,1,1,33,5.39816,13,0.52,0.208,1,1,0,0,0,1,0,0,0,0,0,0
6,0,1,44,5.56068,2,0.52,0.208,1,0,1,1,0,0,0,0,0,0,0,0
7,0,0,36,5.46806,1,0.52,0.208,1,0,0,0,0,1,0,0,0,0,0,0
3,0,1,37,6.20254,2,0.466,0.186,1,1,0,1,0,1,0,1,0,0,0,0
7,0,1,30,5.53339,2,0.52,0.208,1,0,0,0,0,1,0,1,0,0,0,0
9,0,1,21,5.31321,1,0.52,0.208,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,45,5.71373,3,0.52,0.208,0,1,1,0,0,0,0,0,0,0,1,0
7,0,0,36,4.77912,1,0.52,0.208,1,1,0,1,0,1,0,1,0,0,0,0
7,0,1,31,5.39816,0,0.52,0.208,1,0,0,0,0,1,0,0,0,1,0,0
3,0,1,29,5.46806,5,0.52,0.208,0,1,1,0,0,0,0,0,1,0,0,0
2,0,1,38,5.69036,17,0.52,0.208,0,1,1,0,0,0,0,0,0,1,0,0
12,1,1,37,6.29342,5,0.425,0.17,1,0,0,0,0,0,0,0,0,0,0,0
5,0,1,20,5.28827,1,0.52,0.208,0,0,1,1,0,0,0,0,0,0,1,0
4,1,0,25,5.18178,1,0.52,0.208,0,0,1,0,0,1,0,0,0,0,1,0
13,1,1,23,5.64897,4,0.52,0.208,0,0,1,0,0,1,0,0,0,0,0,0
2,0,1,21,5.87493,3,0.52,0.208,0,0,0,0,0,1,0,0,0,0,0,0
11,0,1,26,5.97889,7,0.52,0.208,1,1,0,1,0,1,0,1,0,0,0,0
8,0,1,43,5.81711,17,0.52,0.208,1,0,0,0,0,1,0,0,0,0,0,0
24,0,1,36,5.79606,9,0.52,0.208,1,1,0,0,0,1,0,0,0,0,0,0
6,0,1,25,5.39816,3,0.52,0.208,0,0,0,1,0,0,0,0,0,0,0,0
4,0,1,45,5.28827,0,0.49,0.245,1,0,0,0,0,0,0,0,0,1,0,0
7,0,1,60,5.89715,26,0.447,0.223,1,1,0,0,0,1,0,0,1,0,0,0
7,0,1,25,5.97126,8,0.415,0.208,0,1,1,0,0,1,0,0,0,0,0,0
2,1,0,44,6.56667,12,0.229,0.114,1,1,0,1,0,0,1,0,0,0,0,0
7,0,1,52,6.16121,8,0.343,0.172,1,0,0,0,0,1,0,1,0,0,0,0
5,0,1,34,5.8522,2,0.468,0.234,1,1,0,1,0,1,0,0,0,0,0,0
5,0,1,55,6.24222,1,0.317,0.158,1,1,0,0,0,1,0,1,0,0,0,0
4,0,1,33,5.8522,14,0.468,0.234,0,1,1,1,0,1,0,0,0,0,0,0
15,0,1,58,5.20401,6,0.49,0.245,1,1,0,0,0,1,0,0,0,0,0,0
7,0,1,23,5.28827,2,0.49,0.245,0,0,0,1,0,0,0,0,0,1,0,0
5,1,0,34,5.75574,0,0.49,0.245,0,1,1,1,0,1,0,0,0,0,0,0
3,0,1,21,5.75574,0,0.49,0.245,1,1,0,0,0,1,1,0,0,0,0,0
4,0,1,56,5.99894,20,0.404,0.202,1,1,0,0,0,1,0,1,0,0,0,0
7,1,1,36,5.62402,12,0.49,0.245,1,1,0,1,0,1,0,0,0,0,0,0
3,0,0,21,5.54908,0,0.49,0.245,1,0,1,0,0,0,0,0,0,0,1,0
4,0,1,32,6.16121,11,0.343,0.172,1,1,1,0,0,0,0,0,0,0,0,0
2,0,0,53,5.06259,22,0.49,0.245,0,1,1,0,0,0,0,0,0,0,1,0
6,0,1,32,6.05209,5,0.383,0.191,0,0,0,0,0,0,0,0,0,1,0,0
11,0,1,38,5.06259,1,0.49,0.245,1,1,0,1,0,0,0,0,0,0,0,0
1,1,0,23,5.20401,0,0.49,0.245,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,44,5.06259,0,0.49,0.245,0,1,1,1,1,0,0,0,0,0,0,0
16,0,1,52,5.93754,8,0.429,0.215,0,1,1,0,0,0,0,0,0,1,0,0
15,0,1,29,5.75574,8,0.49,0.245,0,0,1,0,0,0,0,0,0,0,1,0
26,0,1,29,5.28827,6,0.49,0.245,1,1,0,0,0,1,0,0,0,0,0,0
14,0,1,37,6.02828,8,0.392,0.196,1,1,0,1,1,1,0,0,0,0,0,0
1,0,0,43,6.10925,5,0.361,0.181,1,1,0,1,0,1,0,0,0,0,0,0
5,0,1,41,5.87493,10,0.458,0.229,0,0,0,0,0,1,0,0,0,0,0,0
4,0,1,40,6.12687,13,0.355,0.178,0,0,0,0,0,1,0,0,0,0,0,0
28,0,1,30,5.75574,3,0.49,0.245,0,0,0,0,0,1,0,0,0,1,0,0
2,0,0,21,5.53339,0,0.49,0.245,1,1,0,1,0,1,0,1,0,0,0,0
7,0,1,60,6.44889,2,0.258,0.129,1,0,0,0,0,1,0,0,0,1,0,0
7,0,1,26,6.16121,2,0.343,0.172,1,0,0,0,0,0,0,0,0,1,0,0
7,1,0,32,5.94017,6,0.428,0.214,1,0,1,0,0,0,0,0,0,0,0,0
2,0,0,35,7.0775,8,0.137,0.069,1,0,0,0,0,0,0,0,1,0,0,0
13,0,1,40,7.32581,12,0.107,0.054,1,1,0,1,0,0,0,0,0,0,0,0
3,0,0,26,5.18178,0,0.49,0.245,0,1,1,1,0,1,0,0,0,0,0,0
7,1,1,31,5.75574,6,0.49,0.245,1,0,1,0,0,0,0,0,0,0,1,0
6,0,1,45,5.87493,6,0.458,0.229,0,0,1,0,0,0,0,0,0,0,1,0
1,0,1,31,5.59471,10,0.49,0.245,1,1,0,0,1,0,0,0,0,1,0,0
13,0,1,42,5.20401,2,0.49,0.245,0,0,1,0,0,0,0,0,0,0,0,0
8,0,1,42,5.82305,13,0.481,0.241,1,1,0,1,0,1,0,0,0,0,1,0
9,0,1,37,6.3081,2,0.296,0.148,1,1,0,1,0,1,0,0,0,0,0,0
4,0,0,28,5.46806,0,0.49,0.245,0,0,0,0,1,1,0,0,0,0,0,0
9,0,1,36,5.62402,5,0.49,0.245,1,1,0,1,1,1,0,0,0,0,0,0
5,0,1,27,6.12249,4,0.357,0.179,1,0,1,0,0,0,0,0,0,1,0,0
5,0,1,27,6.31536,4,0.294,0.147,1,1,0,1,0,0,0,0,1,0,0,0
7,0,1,53,6.51026,1,0.242,0.121,0,0,0,0,0,1,0,1,0,0,0,0
3,1,1,25,5.76205,1,0.49,0.245,1,0,1,0,0,0,0,0,0,0,1,0
6,0,1,30,5.46806,3,0.49,0.245,0,0,0,0,1,1,0,0,0,0,1,0
1,0,1,29,5.46806,6,0.49,0.245,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,27,5.67675,0,0.49,0.245,1,1,0,1,0,1,0,0,0,0,1,0
9,0,1,27,6.42162,3,0.265,0.132,1,1,0,1,0,1,0,1,0,0,0,0
11,0,1,36,5.93754,0,0.429,0.215,0,1,1,0,0,0,0,0,0,0,1,0
7,0,1,28,6.16121,5,0.343,0.172,0,1,1,1,0,0,0,0,0,1,0,0
9,0,0,29,5.87493,5,0.458,0.229,0,1,0,1,0,0,0,1,0,0,0,0
3,0,0,41,4.82831,0,0.49,0.245,0,0,0,0,0,1,0,0,0,1,0,0
4,0,0,31,5.75574,0,0.49,0.245,1,1,0,1,0,1,0,0,0,0,1,0
4,0,1,58,6.16121,28,0.343,0.172,1,1,0,0,0,1,0,0,0,0,0,0
3,0,1,24,5.97889,0,0.412,0.206,0,0,0,0,0,0,0,0,0,1,0,0
2,1,1,49,5.46806,5,0.49,0.245,1,0,1,0,0,0,0,0,0,0,0,0
10,0,1,47,6.31716,5,0.294,0.147,1,1,0,0,0,0,0,0,0,0,0,0
3,0,0,22,5.39816,0,0.49,0.245,1,0,0,0,0,1,0,0,0,0,1,0
4,0,1,54,6.09131,4,0.368,0.184,1,1,0,1,1,0,0,0,0,0,0,0
2,0,0,38,6.16121,3,0.343,0.172,1,0,0,0,0,1,0,0,0,0,0,0
7,1,0,26,5.81114,2,0.487,0.243,1,1,0,0,0,0,0,0,0,0,1,0
2,0,0,20,5.06259,0,0.49,0.245,0,0,0,0,0,1,0,1,0,0,0,0
2,0,0,43,4.74493,1,0.49,0.245,0,1,1,0,0,1,0,0,0,1,0,0
2,1,1,28,5.43372,3,0.49,0.245,1,0,1,1,0,0,0,0,1,0,0,0
5,0,1,31,5.17615,1,0.49,0.245,1,0,1,1,0,1,0,0,0,0,0,0
5,1,0,34,5.9135,1,0.44,0.22,1,0,1,0,0,0,0,0,0,0,1,0
11,0,1,21,5.39816,1,0.5,0.1,0,0,0,0,0,1,0,0,0,0,0,0
5,1,1,53,5.28827,0,0.5,0.1,1,1,0,0,0,0,0,0,0,0,0,0
11,0,1,22,6.22654,2,0.306,0.061,0,0,0,0,0,1,0,0,1,0,0,0
19,0,1,50,5.34233,5,0.5,0.1,0,1,1,0,0,1,0,0,0,0,0,0
13,0,1,49,4.63473,8,0.5,0.1,1,0,1,1,0,1,0,0,0,0,0,0
8,0,1,60,5.93754,27,0.408,0.082,1,1,0,0,0,1,0,0,0,0,0,0
11,0,0,42,6.16121,0,0.327,0.065,1,1,0,1,0,0,0,0,0,1,0,0
3,0,1,44,5.84064,21,0.451,0.09,1,1,0,1,0,1,0,0,0,0,0,0
3,1,0,20,5.28827,0,0.5,0.1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,25,5.04986,1,0.5,0.1,0,1,1,1,0,1,0,0,0,0,0,0
5,0,1,41,5.97889,7,0.392,0.078,1,0,0,0,0,1,0,0,0,0,0,0
19,0,1,26,5.92693,3,0.413,0.083,1,0,1,0,0,0,0,0,0,1,0,0
2,0,0,23,5.39816,1,0.5,0.1,1,0,1,0,0,0,0,0,0,1,0,0
3,0,1,27,5.74939,0,0.494,0.099,1,1,0,1,0,1,0,0,0,0,0,0
3,0,1,29,5.75574,2,0.49,0.098,1,1,0,1,0,1,0,0,0,0,0,0
8,0,0,30,4.77912,0,0.5,0.1,1,0,0,0,1,1,0,0,0,0,0,0
1,0,0,25,5.39816,0,0.5,0.1,1,1,1,1,0,1,0,0,0,0,0,0
3,0,1,30,5.64897,2,0.5,0.1,0,1,0,1,0,1,0,0,0,0,0,0
6,0,1,60,4.91265,0,0.5,0.1,1,1,0,1,0,0,0,0,0,1,0,0
1,0,1,56,5.8522,40,0.445,0.089,1,1,0,0,0,1,0,0,0,0,0,0
2,0,0,22,4.92725,0,0.5,0.1,0,0,0,1,0,1,0,0,0,0,0,0
4,0,0,45,4.91265,6,0.5,0.1,0,1,1,0,1,1,0,0,0,0,1,0
3,1,1,33,6.38519,3,0.261,0.052,0,0,1,0,0,0,0,0,0,0,1,0
27,0,1,60,5.97889,27,0.392,0.078,1,1,0,0,0,0,0,0,0,0,0,0
6,0,1,21,5.06259,0,0.5,0.1,1,0,0,1,0,1,0,0,0,0,1,0
3,0,1,30,5.36129,3,0.5,0.1,0,0,0,0,0,0,0,0,0,1,0,0
14,0,1,44,6.45834,5,0.243,0.049,1,1,0,1,0,0,0,0,0,0,0,0
2,0,0,52,6.3315,17,0.275,0.055,0,1,0,1,0,0,0,0,0,0,1,0
11,0,1,31,5.24702,0,0.5,0.1,0,1,1,1,0,1,0,0,0,0,0,0
27,0,0,51,6.16121,3,0.327,0.065,1,1,0,1,0,1,0,0,1,0,0,0
6,0,1,35,5.53339,7,0.5,0.1,0,1,1,0,0,1,0,0,0,0,0,0
2,0,0,55,5.96358,25,0.398,0.08,1,1,0,0,0,0,0,0,0,1,0,0
1,1,1,53,5.75574,1,0.49,0.098,0,1,1,0,0,0,0,0,0,0,0,0
5,0,0,33,5.97889,12,0.392,0.078,0,1,1,1,0,0,0,0,0,0,0,0
1,0,0,27,5.28827,0,0.5,0.1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,33,5.97889,4,0.392,0.078,1,1,0,1,0,1,0,1,0,0,0,0
1,1,0,43,5.46806,5,0.5,0.1,0,1,1,0,0,1,0,0,0,0,0,0
13,1,0,32,5.75574,4,0.49,0.098,1,1,0,1,0,1,0,0,0,0,0,0
3,1,1,28,4.92725,0,0.5,0.1,0,1,0,0,0,1,0,0,0,0,0,0
19,0,1,51,5.8944,0,0.426,0.085,1,1,0,0,0,1,0,0,0,0,0,0
9,0,1,36,6.29527,0,0.286,0.057,1,1,0,1,0,1,0,1,0,0,0,0
5,0,0,27,5.18178,0,0.5,0.1,0,1,1,0,0,0,0,0,0,1,0,0
17,0,1,31,4.92725,2,0.5,0.1,0,1,1,1,0,0,0,0,0,0,1,0
15,0,1,42,6.286,4,0.288,0.058,1,1,0,1,0,1,0,1,0,0,0,0
4,0,1,50,6.01859,14,0.377,0.075,0,0,0,0,1,1,0,0,0,0,1,0
7,0,1,24,5.75574,0,0.49,0.098,0,0,0,0,0,1,0,0,0,0,0,0
3,1,1,36,6.38519,1,0.261,0.052,1,0,1,1,0,0,0,0,0,1,0,0
14,1,0,50,4.83628,3,0.5,0.1,1,0,0,0,0,1,0,0,0,0,1,0
5,0,0,38,5.65599,0,0.5,0.1,1,1,0,0,0,1,0,0,0,0,0,0
3,0,0,48,5.8944,19,0.426,0.085,1,1,0,0,0,0,0,1,0,0,0,0
12,0,1,47,5.54908,4,0.5,0.1,1,0,1,0,0,0,0,0,0,1,0,0
2,0,0,33,5.54908,4,0.5,0.1,1,0,1,0,0,0,0,0,0,0,1,0
2,1,1,33,6.51026,3,0.231,0.046,1,1,0,1,0,1,0,0,0,0,0,0
10,0,1,34,6.16121,4,0.327,0.065,1,1,0,1,0,1,0,1,0,0,0,0
1,0,0,22,5.39816,0,0.5,0.1,0,1,0,0,0,1,0,0,0,0,0,0
5,0,1,26,5.75574,2,0.5,0.013,1,1,0,0,0,1,0,0,0,0,0,0
17,0,1,30,5.28827,0,0.5,0.02,1,1,0,1,0,1,0,0,0,0,0,0
7,0,1,23,5.06259,1,0.5,0.025,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,24,4.63473,1,0.5,0.038,1,0,1,1,0,1,0,0,0,1,0,0
21,0,1,58,5.46806,11,0.5,0.017,0,1,1,0,0,0,0,0,0,1,0,0
16,0,1,34,5.64897,7,0.5,0.014,1,0,1,1,0,0,0,0,0,0,1,0
7,0,1,33,5.32301,4,0.5,0.019,1,1,0,1,0,1,0,0,0,0,0,0
5,1,1,47,4.67283,5,0.5,0.037,0,1,1,1,0,1,0,0,0,0,0,0
6,0,1,30,5.46806,3,0.5,0.017,0,1,1,0,0,0,0,0,0,0,0,1
1,1,0,49,4.77912,3,0.5,0.033,0,1,1,1,0,1,0,0,0,0,0,0
5,0,0,34,5.50126,2,0.5,0.016,1,1,0,0,0,1,0,0,0,0,0,0
9,0,1,24,5.39816,1,0.5,0.018,0,0,0,0,0,1,0,0,0,0,0,0
9,0,1,33,5.69036,1,0.5,0.013,1,1,0,1,0,0,0,0,0,0,1,0
1,1,0,38,5.46806,3,0.5,0.017,0,0,0,0,0,0,0,0,0,1,0,0
6,0,1,28,5.59471,2,0.5,0.015,1,1,0,0,0,0,0,0,0,1,0,0
27,0,1,41,5.28827,1,0.5,0.02,1,1,0,1,1,1,0,0,0,0,0,0
13,1,1,36,6.16121,14,0.375,0.008,0,1,0,1,0,1,0,0,0,1,0,0
6,0,1,61,5.75574,1,0.5,0.013,1,0,1,0,0,0,0,0,0,0,1,0
5,1,1,30,5.32301,3,0.5,0.019,0,1,0,0,1,1,0,0,0,0,0,0
13,0,1,58,6.85435,3,0.188,0.004,1,0,0,0,0,0,0,0,0,0,0,0
23,0,1,40,5.62402,2,0.5,0.014,0,0,1,0,0,0,0,0,0,0,0,0
5,1,1,30,6.41017,4,0.292,0.006,0,1,1,1,0,0,0,0,0,0,1,0
2,1,0,53,5.97889,0,0.45,0.01,1,1,0,0,0,0,0,0,0,0,1,0
13,1,1,43,6.16121,23,0.375,0.008,0,1,1,1,0,1,0,0,1,0,0,0
10,0,1,37,5.75574,8,0.5,0.013,1,1,0,1,0,0,0,0,0,1,0,0
10,0,1,30,5.46806,8,0.5,0.017,0,1,1,1,0,0,0,0,0,1,0,0
5,1,1,52,6.31536,2,0.321,0.007,1,1,0,0,0,1,0,1,0,0,0,0
2,0,1,54,5.57973,7,0.5,0.015,0,1,1,0,0,0,0,0,0,0,0,0
2,0,0,28,4.86753,0,0.5,0.03,1,0,0,0,0,1,0,0,0,0,0,0
3,1,1,23,5.3799,4,0.5,0.018,0,1,1,0,0,0,0,0,0,1,0,0
2,0,0,36,5.53339,1,0.5,0.016,1,1,0,1,0,1,0,1,0,0,0,0
20,1,1,55,5.50126,1,0.5,0.016,1,1,0,0,0,1,0,0,0,0,0,0
21,0,1,30,6.76734,3,0.205,0.005,1,1,0,1,0,1,0,0,0,0,0,0
9,1,0,33,5.75574,0,0.5,0.013,1,1,0,1,0,1,0,1,0,0,0,0
17,0,1,48,5.80513,1,0.5,0.012,1,0,0,0,1,1,0,1,0,0,0,0
27,0,0,34,4.36945,2,0.5,0.05,0,1,1,1,0,1,0,0,0,0,1,0
